2025-07-30 01:59:20.328 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:20.470 | INFO     | __main__:get_school_info:65 - 第46页数据插入成功，插入30条数据
2025-07-30 01:59:20.779 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:20.932 | INFO     | __main__:get_school_info:65 - 第47页数据插入成功，插入30条数据
2025-07-30 01:59:21.260 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:21.411 | INFO     | __main__:get_school_info:65 - 第48页数据插入成功，插入30条数据
2025-07-30 01:59:21.737 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:21.903 | INFO     | __main__:get_school_info:65 - 第49页数据插入成功，插入30条数据
2025-07-30 01:59:22.227 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:22.389 | INFO     | __main__:get_school_info:65 - 第50页数据插入成功，插入30条数据
2025-07-30 01:59:22.715 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:22.873 | INFO     | __main__:get_school_info:65 - 第51页数据插入成功，插入30条数据
2025-07-30 01:59:23.204 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:23.370 | INFO     | __main__:get_school_info:65 - 第52页数据插入成功，插入30条数据
2025-07-30 01:59:23.705 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:23.871 | INFO     | __main__:get_school_info:65 - 第53页数据插入成功，插入30条数据
2025-07-30 01:59:24.183 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:24.349 | INFO     | __main__:get_school_info:65 - 第54页数据插入成功，插入30条数据
2025-07-30 01:59:24.679 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:24.849 | INFO     | __main__:get_school_info:65 - 第55页数据插入成功，插入30条数据
2025-07-30 01:59:25.184 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:25.361 | INFO     | __main__:get_school_info:65 - 第56页数据插入成功，插入30条数据
2025-07-30 01:59:25.710 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:25.903 | INFO     | __main__:get_school_info:65 - 第57页数据插入成功，插入30条数据
2025-07-30 01:59:26.218 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:26.397 | INFO     | __main__:get_school_info:65 - 第58页数据插入成功，插入30条数据
2025-07-30 01:59:26.900 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:27.089 | INFO     | __main__:get_school_info:65 - 第59页数据插入成功，插入30条数据
2025-07-30 01:59:27.420 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:27.614 | INFO     | __main__:get_school_info:65 - 第60页数据插入成功，插入30条数据
2025-07-30 01:59:27.998 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:28.198 | INFO     | __main__:get_school_info:65 - 第61页数据插入成功，插入30条数据
2025-07-30 01:59:28.520 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:28.721 | INFO     | __main__:get_school_info:65 - 第62页数据插入成功，插入30条数据
2025-07-30 01:59:29.045 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:29.259 | INFO     | __main__:get_school_info:65 - 第63页数据插入成功，插入30条数据
2025-07-30 01:59:29.586 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:29.793 | INFO     | __main__:get_school_info:65 - 第64页数据插入成功，插入30条数据
2025-07-30 01:59:30.138 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:30.353 | INFO     | __main__:get_school_info:65 - 第65页数据插入成功，插入30条数据
2025-07-30 01:59:30.695 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:30.924 | INFO     | __main__:get_school_info:65 - 第66页数据插入成功，插入30条数据
2025-07-30 01:59:31.238 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:31.456 | INFO     | __main__:get_school_info:65 - 第67页数据插入成功，插入30条数据
2025-07-30 01:59:31.787 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:32.003 | INFO     | __main__:get_school_info:65 - 第68页数据插入成功，插入30条数据
2025-07-30 01:59:32.314 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:32.528 | INFO     | __main__:get_school_info:65 - 第69页数据插入成功，插入30条数据
2025-07-30 01:59:32.851 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:33.069 | INFO     | __main__:get_school_info:65 - 第70页数据插入成功，插入30条数据
2025-07-30 01:59:33.420 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:33.642 | INFO     | __main__:get_school_info:65 - 第71页数据插入成功，插入30条数据
